https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1654300800000.0,2022-06-04 00:00:00,LTC/USD,62.51,64.285,61.28,63.67,142514.2252662164,9073880.7227
1654214400000.0,2022-06-03 00:00:00,LTC/USD,64.375,64.825,61.345,62.51,222957.41070468724,13937067.74315
1654128000000.0,2022-06-02 00:00:00,LTC/USD,62.61,64.685,61.98,64.375,244715.35161320388,15753550.7601
1654041600000.0,2022-06-01 00:00:00,LTC/USD,68.33,70.56,61.71,62.61,327792.18875658844,20523068.93805
1653955200000.0,2022-05-31 00:00:00,LTC/USD,69.025,69.705,66.75,68.33,247936.43499560957,16941496.60325
1653868800000.0,2022-05-30 00:00:00,LTC/USD,63.57,69.695,63.215,69.025,224293.10702643968,15481831.7125
1653782400000.0,2022-05-29 00:00:00,LTC/USD,62.98,64.345,61.81,63.57,163345.658291647,10383883.4976
1653696000000.0,2022-05-28 00:00:00,LTC/USD,61.515,63.945,61.23,62.98,135639.05239917434,8542547.5201
1653609600000.0,2022-05-27 00:00:00,LTC/USD,63.375,64.04,60.845,61.515,207425.409260343,12759774.05065
1653523200000.0,2022-05-26 00:00:00,LTC/USD,68.17,68.735,60.445,63.375,216217.72887337278,13702798.56735
1653436800000.0,2022-05-25 00:00:00,LTC/USD,70.2,71.65,67.815,68.17,193804.575575033,13211657.91695
1653350400000.0,2022-05-24 00:00:00,LTC/USD,68.975,70.73,66.935,70.2,214683.97656552706,15070815.1549
1653264000000.0,2022-05-23 00:00:00,LTC/USD,71.575,73.88,68.245,68.975,249415.32169844152,17203421.81415
1653177600000.0,2022-05-22 00:00:00,LTC/USD,69.75,72.415,69.29,71.575,151902.81652043312,10872444.09245
1653091200000.0,2022-05-21 00:00:00,LTC/USD,68.49,70.555,67.78,69.75,158634.77390681003,11064775.48
1653004800000.0,2022-05-20 00:00:00,LTC/USD,72.05,73.315,66.73,68.49,212807.94040151848,14575215.8381
1652918400000.0,2022-05-19 00:00:00,LTC/USD,65.895,72.625,64.625,72.05,222061.879278279,15999558.402
1652832000000.0,2022-05-18 00:00:00,LTC/USD,73.01,74.265,65.675,65.895,210582.43890507627,13876329.81165
1652745600000.0,2022-05-17 00:00:00,LTC/USD,67.13,73.81,66.885,73.01,196446.91207437337,14342589.05055
1652659200000.0,2022-05-16 00:00:00,LTC/USD,71.43,71.485,64.92,67.13,210131.4953999702,14106127.2862
1652572800000.0,2022-05-15 00:00:00,LTC/USD,68.765,71.645,65.905,71.43,139901.229849503,9993144.84815
1652486400000.0,2022-05-14 00:00:00,LTC/USD,67.735,70.255,64.05,68.765,155185.3170711845,10671318.3284
1652400000000.0,2022-05-13 00:00:00,LTC/USD,64.295,73.145,63.055,67.735,190059.09826160772,12873653.02075
1652313600000.0,2022-05-12 00:00:00,LTC/USD,66.325,69.635,51.88,64.295,314404.20564585115,20214618.402
1652227200000.0,2022-05-11 00:00:00,LTC/USD,80.11,82.745,63.865,66.325,277791.9856283453,18424553.4468
1652140800000.0,2022-05-10 00:00:00,LTC/USD,76.145,84.99,73.23,80.11,161743.60765509924,12957280.40925
1652054400000.0,2022-05-09 00:00:00,LTC/USD,93.88,94.93,75.2,76.145,183566.51869196928,13977672.5658
1651968000000.0,2022-05-08 00:00:00,LTC/USD,94.24,95.73,91.395,93.88,97560.76317266724,9159004.44665
1651881600000.0,2022-05-07 00:00:00,LTC/USD,96.68,97.325,92.605,94.24,100535.19607862904,9474436.87845
1651795200000.0,2022-05-06 00:00:00,LTC/USD,96.805,98.37,92.76,96.68,135359.00263549856,13086508.3748
1651708800000.0,2022-05-05 00:00:00,LTC/USD,106.275,106.83,94.74,96.805,179046.57408088425,17332603.6039
1651622400000.0,2022-05-04 00:00:00,LTC/USD,99.345,107.175,99.02,106.265,160279.45331482613,17032096.1065
1651536000000.0,2022-05-03 00:00:00,LTC/USD,100.645,101.405,97.43,99.345,163713.29067341084,16264096.86195
1651449600000.0,2022-05-02 00:00:00,LTC/USD,99.27,101.865,98.32,100.645,138994.1184162154,13989063.048
1651363200000.0,2022-05-01 00:00:00,LTC/USD,95.85,100.055,94.425,99.27,113171.91060995265,11234575.56625
1651276800000.0,2022-04-30 00:00:00,LTC/USD,100.33,101.56,94.025,95.85,131132.88780229524,12569087.29585
1651190400000.0,2022-04-29 00:00:00,LTC/USD,103.345,104.45,98.325,100.33,115856.27003637995,11623859.57275
1651104000000.0,2022-04-28 00:00:00,LTC/USD,100.585,104.51,99.735,103.345,150316.4426996952,15534452.7708
1651017600000.0,2022-04-27 00:00:00,LTC/USD,98.595,101.91,97.73,100.585,135496.43308793558,13628908.72215
1650931200000.0,2022-04-26 00:00:00,LTC/USD,104.535,105.36,96.365,98.595,172229.0069420356,16980918.93945
1650844800000.0,2022-04-25 00:00:00,LTC/USD,104.56,104.985,98.32,104.535,163639.9106921127,17106098.0642
1650758400000.0,2022-04-24 00:00:00,LTC/USD,105.15,105.92,103.35,104.56,104766.21107880643,10954355.0304
1650672000000.0,2022-04-23 00:00:00,LTC/USD,105.315,107.19,104.395,105.15,93126.30492154065,9792230.9625
1650585600000.0,2022-04-22 00:00:00,LTC/USD,106.735,108.69,104.815,105.315,132045.45208090017,13906366.7859
1650499200000.0,2022-04-21 00:00:00,LTC/USD,111.9,114.605,105.445,106.735,165768.7635175903,17693328.97405
